State,Latitude,Longitude,Date,SWE,Precipitation,Cumulative_Precipitation,Max_Temp,Min_Temp
AK,-149.67,61.11,16762,51,0,112,0.9,-8.8
AK,-149.67,61.11,16761,51,0,112,-2.9,-15.8
AK,-149.67,61.11,16760,41,13,99,-0.3,-10.4
AK,-149.67,61.11,16759,33,8,91,2.1,-3.9
AK,-149.67,61.11,16758,33,5,86,0.1,-14.8
AK,-149.67,61.11,16757,33,0,86,-14.8,-24.5
AK,-149.67,61.11,16756,33,0,86,-14.2,-24.9
AK,-149.67,61.11,16755,33,0,86,-14.1,-24.7
AK,-149,61.38,16762,25,0,48,4.4,-9.6
AK,-149,61.38,16761,25,0,48,-4.1,-13.1
AK,-149,61.38,16760,15,10,38,0.2,-8.7
AK,-149,61.38,16759,10,3,36,3.6,-1.3
AK,-149,61.38,16758,0,8,28,2.7,-13.3
AK,-149,61.38,16757,0,0,28,-12.4,-20.7
AK,-149,61.38,16756,5,0,28,-15.1,-20.8
AK,-149,61.38,16755,5,0,28,-14.4,-19.7
AK,-150.04,62.13,16762,91,10,145,-5.4,-8.2
AK,-150.04,62.13,16761,91,0,145,-7.3,-17
AK,-150.04,62.13,16760,91,0,145,0,-7.8
AK,-150.04,62.13,16759,86,5,140,-1.2,-10.5
AK,-150.04,62.13,16758,41,36,104,-8.4,-22.6
AK,-150.04,62.13,16757,41,0,104,-21.1,-33.2
AK,-150.04,62.13,16756,41,0,104,-20.1,-30.9
AK,-150.04,62.13,16755,41,0,104,-20.6,-31.5
AK,-149.48,61.07,16762,97,8,231,-2.6,-8.1
AK,-149.48,61.07,16761,94,3,229,-6,-14.3
AK,-149.48,61.07,16760,81,13,216,-2,-9.9
AK,-149.48,61.07,16759,66,18,198,-1,-3.6
AK,-149.48,61.07,16758,53,18,180,-2.6,-13.5
AK,-149.48,61.07,16757,51,3,178,-11,-20.8
AK,-149.48,61.07,16756,48,3,175,-17.8,-20.2
AK,-149.48,61.07,16755,48,0,175,-17.1,-20.7
AK,-149.09,60.96,16762,38,0,251,-0.3,-5.6
AK,-149.09,60.96,16761,38,0,251,-3.4,-7.4
AK,-149.09,60.96,16760,28,10,241,0.6,-5.7
AK,-149.09,60.96,16759,25,3,239,2.4,-1.1
AK,-149.09,60.96,16758,25,0,239,1.6,-10.1
AK,-149.09,60.96,16757,25,3,236,-9.3,-16.6
AK,-149.09,60.96,16756,25,0,236,-13,-17.1
AK,-149.09,60.96,16755,25,0,236,-12.9,-16.7
AK,-145.63,63.2,16762,71,8,99,-6.4,-14.7
AK,-145.63,63.2,16761,71,0,99,-9.1,-22.6
AK,-145.63,63.2,16760,69,3,97,-2.1,-9.1
AK,-145.63,63.2,16759,64,3,94,-1.1,-3.5
AK,-145.63,63.2,16758,53,10,84,-3.5,-35.7
AK,-145.63,63.2,16757,53,0,84,-26.1,-34.6
AK,-145.63,63.2,16756,53,0,84,-18.8,-32.7
AK,-145.63,63.2,16755,53,0,84,-20.6,-34.6
AK,-145.4,63.94,16762,28,0,28,-7.3,-26.2
AK,-145.4,63.94,16761,28,0,28,-8.2,-20.2
AK,-145.4,63.94,16760,25,3,25,-4.8,-8.8
AK,-145.4,63.94,16759,25,0,25,-8.8,-13.9
AK,-145.4,63.94,16758,25,0,25,-13.9,-34.1
AK,-145.4,63.94,16757,25,0,25,-21.3,-38.8
AK,-145.4,63.94,16756,23,3,23,-19.9,-21.4
AK,-145.4,63.94,16755,23,0,23,-20.3,-35.4
AK,-145.63,63.2,16762,71,8,99,-6.4,-14.7
AK,-145.63,63.2,16761,71,0,99,-9.1,-22.6
AK,-145.63,63.2,16760,69,3,97,-2.1,-9.1
AK,-145.63,63.2,16759,64,3,94,-1.1,-3.5
AK,-145.63,63.2,16758,53,10,84,-3.5,-35.7
AK,-145.63,63.2,16757,53,0,84,-26.1,-34.6
AK,-145.63,63.2,16756,53,0,84,-18.8,-32.7
AK,-145.63,63.2,16755,53,0,84,-20.6,-34.6
AK,-145.4,63.94,16762,28,0,28,-7.3,-26.2
AK,-145.4,63.94,16761,28,0,28,-8.2,-20.2
AK,-145.4,63.94,16760,25,3,25,-4.8,-8.8
AK,-145.4,63.94,16759,25,0,25,-8.8,-13.9
AK,-145.4,63.94,16758,25,0,25,-13.9,-34.1
AK,-145.4,63.94,16757,25,0,25,-21.3,-38.8
AK,-145.4,63.94,16756,23,3,23,-19.9,-21.4
AK,-145.4,63.94,16755,23,0,23,-20.3,-35.4
AK,-146.3,61.08,16762,#N/A,0,279,-4.1,-11.4
AK,-146.3,61.08,16761,#N/A,3,277,-0.8,-11.3
AK,-146.3,61.08,16760,#N/A,23,254,1.2,-1.3
AK,-146.3,61.08,16759,#N/A,25,229,2.2,-4.4
AK,-146.3,61.08,16758,#N/A,20,208,-4.4,-11.6
AK,-146.3,61.08,16757,#N/A,0,208,-6.3,-11.8
AK,-146.3,61.08,16756,#N/A,0,208,-6.2,-8.7
AK,-146.3,61.08,16755,#N/A,3,206,-5.9,-10.6
AK,-149.67,61.11,16762,51,0,112,0.9,-8.8
AK,-149.67,61.11,16761,51,0,112,-2.9,-15.8
AK,-149.67,61.11,16760,41,13,99,-0.3,-10.4
AK,-149.67,61.11,16759,33,8,91,2.1,-3.9
AK,-149.67,61.11,16758,33,5,86,0.1,-14.8
AK,-149.67,61.11,16757,33,0,86,-14.8,-24.5
AK,-149.67,61.11,16756,33,0,86,-14.2,-24.9
AK,-149.67,61.11,16755,33,0,86,-14.1,-24.7
AK,-149,61.38,16762,25,0,48,4.4,-9.6
AK,-149,61.38,16761,25,0,48,-4.1,-13.1
AK,-149,61.38,16760,15,10,38,0.2,-8.7
AK,-149,61.38,16759,10,3,36,3.6,-1.3
AK,-149,61.38,16758,0,8,28,2.7,-13.3
AK,-149,61.38,16757,0,0,28,-12.4,-20.7
AK,-149,61.38,16756,5,0,28,-15.1,-20.8
AK,-149,61.38,16755,5,0,28,-14.4,-19.7
AK,-150.04,62.13,16762,91,10,145,-5.4,-8.2
AK,-150.04,62.13,16761,91,0,145,-7.3,-17
AK,-150.04,62.13,16760,91,0,145,0,-7.8
AK,-150.04,62.13,16759,86,5,140,-1.2,-10.5
AK,-150.04,62.13,16758,41,36,104,-8.4,-22.6
AK,-150.04,62.13,16757,41,0,104,-21.1,-33.2
AK,-150.04,62.13,16756,41,0,104,-20.1,-30.9
AK,-150.04,62.13,16755,41,0,104,-20.6,-31.5
AK,-149.48,61.07,16762,97,8,231,-2.6,-8.1
AK,-149.48,61.07,16761,94,3,229,-6,-14.3
AK,-149.48,61.07,16760,81,13,216,-2,-9.9
AK,-149.48,61.07,16759,66,18,198,-1,-3.6
AK,-149.48,61.07,16758,53,18,180,-2.6,-13.5
AK,-149.48,61.07,16757,51,3,178,-11,-20.8
AK,-149.48,61.07,16756,48,3,175,-17.8,-20.2
AK,-149.48,61.07,16755,48,0,175,-17.1,-20.7
AK,-149.09,60.96,16762,38,0,251,-0.3,-5.6
AK,-149.09,60.96,16761,38,0,251,-3.4,-7.4
AK,-149.09,60.96,16760,28,10,241,0.6,-5.7
AK,-149.09,60.96,16759,25,3,239,2.4,-1.1
AK,-149.09,60.96,16758,25,0,239,1.6,-10.1
AK,-149.09,60.96,16757,25,3,236,-9.3,-16.6
AK,-149.09,60.96,16756,25,0,236,-13,-17.1
AK,-149.09,60.96,16755,25,0,236,-12.9,-16.7
AK,-149.67,61.11,16762,51,0,112,0.9,-8.8
AK,-149.67,61.11,16761,51,0,112,-2.9,-15.8
AK,-149.67,61.11,16760,41,13,99,-0.3,-10.4
AK,-149.67,61.11,16759,33,8,91,2.1,-3.9
AK,-149.67,61.11,16758,33,5,86,0.1,-14.8
AK,-149.67,61.11,16757,33,0,86,-14.8,-24.5
