state,date,lat,lon,site_name
MT,16400,45.04,-109.94,"Near Henderson Peak, Cooke City, Montana"
AK,16410,63.32,-145.66,"Rainbow Ridge area, Delta Range"
CO,16435,39.65,-105.8,Kelso Mountain
CO,16441,37.8,-107.65,"Kendall Mountain, Rabbit Ears/Arcade"
CO,16489,39.17,-106.82,West side of Aspen Mountain - Peter Barker run/slide path
UT,16498,41.22,-111.87,"Hell's Canyon, near Snowbasin Ski Resort"
AK,16508,63.27,-149.44,"Squaw Creek, near Cantwell"
AK,16526,61.19,-144.35,"North of Tebay Lakes, Wrangell-St. Elias National Park and Preserve"
MT,16536,45.36,-111.41,"Beehive Peak, northern Madison Range"
WY,16572,43.84,-110.77,Mount Moran
CA,16744,36.59,-118.29,"Mt Russell, John Muir Wilderness"
AK,16761,61.78,-149.3,"Eldorado Bowl, Hatcher Pass"
MT,16788,48.34,-113.47,"Sheep Mountain, north of Cooke City"
WA,16788,47.44,-121.38,Kendall Peak
WA,16800,47.41,-121.49,Granite Mountain near Snoqualmie Pass
AK,16802,61.75,-149.41,"Grubstake Gulch, southwest of Hatcher Pass"
CA,16814,39.3,-120.33,Backcountry near Sugar Bowl Ski Resort
AK,16816,61.78,-149.3,"Skyscraper Mountain, Hatcher Pass"
CO,16816,39.83,-105.65,"St Marys Lake, Front Range"
MT,16819,45.29,-111.44,"Cedar Basin, west of Big Sky"
WY,16819,43.55,-110.88,"Pyramid Peak, Teton Range"
CO,16821,38.89,-106.95,"Ruby Peak, Ruby Range west of Crested Butte"
UT,16821,40.6,-111.64,"Gobblers Knob, Big Cottonwood Canyon"
CO,16822,37.9,-107.7,"Red Mountain, Clear Creek County"
MT,16823,48.86,-114.62,"Swede Creek area, Whitefish Range"
WA,16824,48.86,-121.69,"Mt Herman, northeast of Mount Baker"
WY,16824,43.59,-110.88,"Rock Springs drainage, south of Jackson Hole Mountain Resort"
ID,16831,43.56,-93.42,Twin Lakes near Brundage Mountain
UT,16831,40.68,-111.6,"Willow Draw near Park City Mountain Resort, Utah"
CO,16833,37.49,-106.71,"Lost Mine Creek, east of Wolf Creek Pass"
CO,16836,38.83,-106.41,"Cottonwood Pass, west of Buena Vista"
WY,16850,44.66,-107.51,Big Horn Mountains near Sheridan Wyoming
WY,16852,43.79,-110.93,Grand Targhee Resort
ID,16857,44.9,-111.37,Island Park
AK,16858,61.61,-146.65,Nelchina Glacier area
OR,16868,45.2,-117.32,"Chief Joseph Peak, Wallowa Mountains"
OR,16882,43.16,-122.22,Cat Ski Mount Bailey
AK,16894,63.14,-145.55,"Summit Lake area, Eastern Alaska Range"
AK,16902,63.14,-145.55,"Summit Lake area, Eastern Alaska Range"
NV,17145,39.32,-119.88,Mt. Rose Chutes - Closed Area
MT,17146,45.05,-109.92,"Henderson Mountain, near Cooke City"
WY,17158,43.78,-110.92,East of Grand Targee Resort
WA,17162,46.62,-121.39,West of White Pass Ski Area
WA,17170,46.91,-121.49,"Near Crystal Mountain, south of Greenwater"
MT,17171,48.66,-113.9,"Mt. Stanton, north of West Glacier"
AK,17194,60.35,-149.67,"Near Cooper Landing, Kenai Peninsula"
ID,17206,43.15,-111.11,"McCoy Creek, Caribou Range east of Idaho Falls"
CO,17211,40.07,-107.24,"Near West Lost Lake, Flat Tops Wilderness area"
WA,17229,47.45,-121,"Hawkins Mountain, north of Cle Elum"
AK,17257,64.75,-147.35,North Pole
WA,17267,47.45,-121.39,"Red Mountain, north of Snoqualmie Pass"
MT,17446,44.99,-111.45,"Imp Peak, southern Madison Range"
AK,17492,61.78,-149.24,"Marmot Mountain, Hatcher Pass"
WY,17529,42.59,-110.73,"Commissary Ridge, Salt River Range"
MT,17533,44.92,-111.26,"Cabin Creek, southern Madison Range"
ID,17541,44.54,-111.5,"Northwest of Reas Peak, Centennial Range"
ID,17551,44.52,-111.54,"Southeast of Reas Peak, Centennial Range"
CO,17552,37.87,-107.72,"South of Red Mountain Pass, Sam's Trees"
MT,17579,48.51,-114.31,"Canyon Creek, Whitefish Range"
WY,17579,43.59,-110.88,"Ralph's Slide, Upper Rock Springs Canyon near Wilson"
ID,17582,43.37,-111.14,"Sheep Creek, west of Palisades"
AK,17587,55.42,-131.62,"Dude Mountain, north of Ketchikan"
WA,17587,47.35,-121.44,Stampede Pass
WA,17587,47.46,-121.45,Snoqualmie Pass
WA,17593,47.44,-120.94,"North Fork Teanaway, north of Cle Elum"
CA,17594,38.69,-120.07,Near Kirkwood Ski Resort
WA,17594,48.69,-120.45,"Setting Sun Mountain, north of the Methow Valley"
WA,17600,48.72,-121.86,"Park Butte, south of Mount Baker"
CO,17629,39.14,-106.88,"Maroon Bowl, west of Aspen Highlands"
CO,17631,39.49,-105.89,"Northwest of Glacier Peak, Middle Fork Swan River"
MT,17635,45.79,-110.94,"Saddle Peak, Bridger Range"
WY,17643,43.71,-110.38,"Northwest of East Leidy Mountain, west of Togwotee Pass"
AK,17653,60.57,-148.81,"Upper Blackstone Glacier, south of Whittier"
WY,17887,42.94,-110.59,"Horse Creek, Wyoming Range"
CO,17901,37.91,-107.73,"Upper Senator Beck Basin, northwest of Red Mountain Pass"
MT,17901,47.92,-112.81,"South Waldron Creek, north of Teton Peak"
WY,17905,43.72,-110.4,"Mount Leidy, southwest of Togwotee Pass"
NM,17913,36.6,-105.45,Taos Ski Valley
UT,17914,39.63,-111.25,"Electric Lake, Manti Skyline"
CO,17917,39.03,-106.78,"Green Mountain, Express Creek"
ID,17921,43.43,-111.06,"Upper Palisades Lake, Snake River Range"
MT,17921,45.54,-112,"Near Bell Lake, Tobacco Root Mountains"
UT,17921,38.45,-109.23,"East Face Laurel Peak, La Sal Mountains"
UT,17934,38.2,-112.4,"Circleville Mountain, Tushar Mountains"
UT,17936,40.86,-111.01,"Humpy Peak, western Uinta Mountains"
CO,17943,38.9,-106.87,"Pearl Pass Road, Brush Creek Drainage"
CO,17946,37.91,-107.81,"Temptation avalanche path, Bear Creek, south of Telluride"
MT,17953,45.81,-110.93,"Truman Gulch, Bridger Range"
CO,17958,37.84,-107.86,"Base Camp above Matterhorn Nordic trailhead, northeast of Lizard Head Pass"
WY,17959,43.8,-110.1,"Breccia Cliffs, northwest of Togwotee Pass"
CO,17962,39.78,-105.87,"Point 12118, east of Jones Pass"
